"Var","Wave","Tree_name","1999","1998","1997","1996","1995","1994","1993","1992","1991","DBH"
"Blackbea","n","1066",0,0,0,0,0,19,0,0,0,9.4
"Blackbea","n","1068",0,22,0,0,0,20,0,0,0,10.6
"Blackbea","n","1069",0,22,0,0,0,18,0,0,0,7.7
"Blackbea","n","1077",0,17,0,0,0,51,0,0,0,10.6
"Blackbea","n","1080",0,2,0,0,0,3,0,0,0,8.7
"Blackbea","n","1085",0,0,0,0,0,0,0,0,0,10.1
"Blackbea","n","1086",0,0,0,0,0,21,0,0,0,8.1
"Blackbea","n","1087",0,54,0,0,0,60,0,0,0,11.6
"Blackbea","n","1092",0,0,0,0,0,37,0,0,0,10.1
"Blackbea","n","1101",0,44,0,0,0,48,0,0,0,13.3
"Blackbea","n","1102",0,43,3,0,0,38,0,0,0,10
"Blackbea","n","1103",0,56,0,15,0,31,0,0,0,13.4
"Blackbea","n","1104",0,52,0,0,29,17,0,0,0,9.7
"Blackbea","n","1106",0,26,0,0,0,37,0,0,0,7.4
"Blackbea","n","1107",1,8,0,0,0,0,0,0,0,8.7
"Blackbea","n","1108",0,10,0,0,0,21,0,0,0,8.6
"Blackbea","n","1114",0,6,0,5,0,24,0,0,0,7.9
"Blackbea","n","1116",0,74,25,0,0,117,0,0,0,14.2
"Blackbea","n","1117",0,0,0,0,0,27,0,0,0,9.5
"Blackbea","n","1120",0,137,25,25,7,103,0,0,0,15.9
"Blackbea","n","1124",0,0,0,0,0,36,0,0,0,6
"Blackbea","n","1128",2,24,16,0,19,56,10,0,0,10.6
"Blackbea","n","1134",0,12,0,0,0,11,0,0,0,7.3
"Blackbea","n","1138",0,10,0,0,0,36,0,0,0,10.3
"Blackbea","n","1140",0,8,0,0,0,19,0,0,0,8.4
"Blackbea","n","1144",0,6,0,10,0,50,0,0,0,10.2
"Blackbea","n","1147",0,11,0,0,0,0,0,0,0,13.8
"Blackbea","n","1148",0,1,0,0,0,19,0,0,0,9.4
"Blackbea","n","1150",0,30,0,17,0,94,0,0,0,8.1
"Blackbea","n","1152",0,0,0,0,0,3,0,0,0,9.6
"Blackbea","n","1154",0,5,0,5,0,12,0,0,0,7.3
"Blackbea","n","1156",0,0,0,0,0,39,0,0,0,7.4
"Blackbea","n","1158",0,26,0,22,0,48,0,0,0,10.3
"Blackbea","n","1164",0,5,0,2,0,0,NA,NA,NA,7
"Blackbea","n","1165",0,134.5,31,4,0,35,2,0,0,13.4
"Blackbea","n","1166",0,11,0,0,0,29,0,0,0,9.2
"Blackbea","n","1167",0,82,0,48,0,101,0,0,0,13.9
"Blackbea","n","1168",0,31,0,0,0,32.5,0,0,0,10.9
"Blackbea","n","1173",0,57,0,0,0,145,0,0,0,17.4
"Blackbea","n","1175",0,26,2,0,0,7,14,5,0,10.2
"Blackbea","n","1178",0,0,0,0,0,32,0,0,0,8.2
"Blackbea","n","1180",10,42,20,0,4,31.5,0,0,0,11.3
"Blackbea","n","1181",0,71,19,0,0,35.5,0,4,13,16.1
"Blackbea","n","1184",0,18,0,17,0,47,0,0,0,12.3
"Blackbea","n","1185",0,33,0,0,0,32,0,0,0,8.3
"Blackbea","n","1186",0,44,0,0,25,84,0,0,0,12.4
"Blackbea","n","1187",0,34,0,0,1,76,10,2,0,12.5
"Blackbea","n","1191",0,52,17,0,4,35,23,0,0,11.3
"Blackbea","n","1196",0,8,0,0,0,35,0,0,0,7.8
"Blackbea","n","1197",0,25,0,0,0,65,3,5,0,11.6
"Blackbea","n","1201",0,9,0,0,0,28,0,0,0,10
"Blackbea","n","1202",0,0,0,0,0,34,0,0,0,7
"Blackbea","n","1207",0,0,0,0,0,10,0,0,0,5.7
"Blackbea","n","1208",0,15,0,0,0,50,0,0,0,7.7
"Blackbea","n","1209",0,13,0,1,3,18,0,0,0,8.9
"Blackbea","n","1213",0,6,0,15,0,22,2,5,0,8.5
"Blackbea","n","1215",0,9,3,6,0,0,0,0,0,NA
"Blackbea","n","1229",0,19,0,0,0,0,0,0,0,8.5
"Blackbea","n","1230",2,34,0,0,0,37,0,0,0,10.7
"Blackbea","n","1231",0,0,0,0,0,33,0,0,0,10.2
"Blackbea","n","1232",0,37,0,0,3,16,5,0,0,10.8
"Blackbea","n","1237",0,0,0,0,0,9,0,0,0,9
"Blackbea","n","1238",0,51,0,25,0,70,0,0,0,9.4
"Blackbea","n","1241",0,0,0,0,0,0,0,0,0,7.6
"Blackbea","n","1242",0,33,0,0,0,11,0,0,0,10.6
"Blackbea","n","1244",0,20,0,0,0,22,0,0,0,10
"Blackbea","n","1246",0,0,0,0,0,0,0,0,0,8
"Blackbea","n","1248",0,20,0,0,0,41,0,0,0,7.4
"Blackbea","n","1250",0,5,0,0,0,12,0,0,0,9.1
"Blackbea","n","1251",0,16,0,12,0,25,0,0,0,6.7
"Blackbea","n","1252",0,3,0,0,0,24,0,0,0,9.7
"Blackbea","n","1253",0,0,0,0,0,0,0,0,0,6.8
"Blackbea","n","1254",0,24,0,0,0,50,0,0,0,8.6
"Blackbea","n","1255",0,0,0,0,0,36,0,0,0,9.1
"Blackbea","n","1258",0,6,0,2,0,20,0,0,0,6.3
"Blackbea","n","1260",0,17,0,2,0,37,0,0,0,6.7
"Blackbea","n","1263",0,0,0,0,0,0,0,0,0,NA
"Blackbea","n","1266",0,14,0,0,0,32,0,0,0,10.9
"Blackbea","n","1273",0,0,0,0,0,0,0,0,0,9.5
"Blackbea","n","1274",0,9,0,0,0,6,0,0,0,9.9
"Blackbea","n","1277",0,13,0,0,0,13,0,0,0,6.8
"Blackbea","n","1279",0,27,0,3,0,16,0,0,0,9.8
"Blackbea","n","1280",0,8,0,7,0,0,0,0,0,7.7
"Blackbea","n","1284",0,29,0,19,0,57,0,0,0,12.1
"Blackbea","n","1285",0,0,0,0,0,0,0,0,0,8.2
"Blackbea","n","1289",0,31,0,23,0,8,0,0,0,10
"Blackbea","n","1294",0,7,0,3,0,14,0,0,0,9.6
"Blackbea","n","1166agai",0,6,0,0,0,19,0,0,0,9.2
"Blackbea","n","1178agai",0,0,0,0,0,38,3,0,0,8.2
"Blackbea","n","1180agai",9,72,4,0,0,53,0,0,0,11.3
"Blackbea","n","1197agai",0,24,0,0,0,53,0,0,0,11.6
"Blackbea","n","1212 per",0,118.7,0,0,0,109,0,0,0,15.7
"Fajita","n","906",3,10,0,0,0,15,0,0,0,9.1
"Fajita","n","907",0,13,0,0,0,32,0,0,0,8.9
"Fajita","n","908",0,16,0,0,0,41,0,0,0,8.7
"Fajita","n","909",0,45,0,0,0,64,0,0,0,11
"Fajita","n","910",0,0,0,0,0,28,0,0,0,6.6
"Fajita","n","913",0,0,0,0,0,17,0,0,0,7.1
"Fajita","n","918",0,26,0,0,0,65,0,0,0,9
"Fajita","n","920",0,28,0,0,0,41,0,0,0,12.4
"Fajita","n","930",0,21,0,0,0,66,0,0,0,12.1
"Fajita","n","934",0,0,0,0,0,10,0,0,0,7.5
"Fajita","n","935",0,26,0,0,0,39,0,0,0,9
"Fajita","n","936",0,21,0,0,0,29,0,0,0,8
"Fajita","n","937",0,4,0,0,0,23,0,0,0,10.9
"Fajita","n","941",0,5,0,0,0,25,0,0,0,9.2
"Fajita","n","946",23,0,0,0,0,63,0,0,0,10.1
"Fajita","n","948",0,52,0,0,0,67,0,0,0,12.1
"Fajita","n","960",0,10,0,2,0,10,0,0,0,7
"Fajita","n","961",0,0,0,0,0,8,0,0,0,6.8
"Fajita","n","630",0,34,9,0,0,7,3,1,0,8.6
"Fajita","n","632",0,34,25,12,7,11,13,2,0,11.6
"Fajita","n","635",0,4,0,0,0,6,4,0,0,6.6
"Fajita","n","647",0,25,26,11,8,8,15,4,NA,10.1
"Fajita","n","654",0,11,0,22,12,26,10,2,NA,9.4
"Fajita","n","665",0,23,13,10,3,NA,NA,NA,NA,10.2
"Fajita","n","671",0,2,6,11,6,NA,NA,NA,NA,6.7
"Fajita","n","675",0,5,0,2,2,0,7,0,0,6.7
"Fajita","n","683",0,0,0,1,0,4,0,0,0,6.8
"Fajita","n","684",0,13,0,15,1,18,0,6,0,8.5
"Fajita","n","685",0,11,1,0,0,28,0,0,0,7.8
"Fajita","n","687",0,0,0,0,11,19,2,0,0,7.9
"Fajita","n","691",0,35,15,15,4,8,7,25,5,9.8
"Fajita","n","696",0,20,0,0,3,11,5,0,0,6.2
"Fajita","n","697",7,16,0,5,4,25,1,NA,NA,7.2
"Fajita","n","699",1,0,0,0,0,33,3,0,0,6.7
"Fajita","n","700",0,37,2,12,9,30,11,10,0,15.4
"Fajita","n","704",0,15,5,0,55,107,21,3,20,9.2
"Fajita","n","705",0,47,2,0,0,67,30,10,0,12.9
"Fajita","n","708",0,8,12,0,5,17,0,0,0,6.7
"Fajita","n","709",0,56,2,5,0,18,5,0,0,9.6
"Fajita","n","710",0,13,0,0,40,41,0,0,0,8.4
"Fajita","n","714",0,7,14,0,27,6,0,0,0,8
"Fajita","n","718",0,0,0,0,0,1,0,0,0,8.7
"Fajita","n","719",1,2,0,0,0,3,3,5,0,6.7
"Fajita","n","720",1,17,2,0,18,6,0,0,0,9.2
"Fajita","n","723",0,44,6,17,2,39,0,0,0,9.5
"Fajita","n","730",0,25.5,0,12.5,5.5,61,5,5,2,8
"Fajita","n","740",0,0,0,0,0,9,5,0,0,5.5
"Fajita","n","741",1,33,0,0,0,32,7,0,0,8.5
"Fajita","n","744",0,32,0,0,0,15,0,0,NA,6.1
"Fajita","n","747",0,2,0,0,1,0,0,0,0,5.7
"Fajita","n","750",0,2,0,0,0,0,0,NA,NA,7.5
"Fajita","n","751",0,11,0,0,0,2,3,0,0,5.6
"Fajita","n","752",0,18,16,0,10,33,10,0,0,8
"Fajita","n","754",0,26,6,4,11,12,2,0,0,6.5
"Fajita","n","755",2,16,7,4,8,0,0,11,0,9.6
"Fajita","n","757",0,0,0,0,0,0,0,0,0,6.1
"Fajita","n","766",0,4,0,0,0,7,6,0,0,7.9
"Fajita","n","769",0,1,1,0,0,2,1,0,0,5.9
"Fajita","n","776",1,41,4,2,0,35,5,0,0,11
"Fajita","n","791",0,20,2,1,0,15,4,0,NA,10.7
"Fajita","n","794",0,19,0,0,0,0,NA,NA,NA,6.9
"Fajita","n","797",0,5,0,0,0,6,0,0,0,8.2
"Fajita","n","806",4,33,0,11,7,68,10,0,0,12.8
"Fajita","n","809",0,58,0,8,0,35,0,0,NA,10.3
"Fajita","n","816",14,45,5,4,0,31,22,0,0,12.8
"Fajita","n","817",0,5,11,3,5,NA,NA,NA,NA,11.7
"Fajita","n","827",13,40,0,2,1,99,11,0,0,12.5
"Fajita","n","836",5,64,0,0,0,81,21,0,0,13.7
"Fajita","n","841",0,68,0,0,0,46,6,0,0,NA
"Fajita","n","672a",0,0,0,4,4,13,0,0,0,NA
"Fajita","n","S1",0,29,0,5,15,11,0,0,0,NA
"Fajita","n","S2",0,9,0,0,0,12,0,1,0,NA
"Fajita","n","S3",0,28,0,4,1,7,0,NA,NA,NA
"Fajita","n","S4",0,48,20,2,0,NA,NA,NA,NA,NA
"Lookout","w","93",0,0,0,3,0,17,NA,NA,NA,6.5
"Lookout","w","S3",3,7,0,6,47,0,0,0,0,11.8
"Lookout","w","37B",0,3,1,0,0,13,3,3,0,6.3
"Lookout","w","51A",0,0,0,0,0,2,2,0,0,6.3
"Lookout","w","C",2,7,8,0,34,0,0,0,0,8.2
"Lookout","w","550a",0,0,0,10,0,0,0,0,0,6.2
"Lookout","w","587a",0,0,0,0,14,0,0,0,0,6.7
"Lookout","w","126",0,14,0,0,39,25,0,0,0,9.8
"Lookout","w","128",5,9,0,12,0,18,3,0,0,9.4
"Lookout","w","130",0,12,2,0,2,9,6,0,0,6.7
"Lookout","w","131",0,10,0,4,26,2,0,0,0,6
"Lookout","w","132",0,3,5,0,12,4,0,0,0,4.9
"Lookout","w","133",0,0,0,17,11,14,0,0,0,9.6
"Lookout","w","134",0,10,0,12,33,0,0,0,0,7.5
"Lookout","w","135",0,0,0,4,4,11,0,0,0,8.4
"Lookout","w","138",0,2,0,3,5,NA,NA,NA,NA,6.5
"Lookout","w","141",1,19,0,11,7,16,0,NA,NA,7.8
"Lookout","w","142",0,20,0,12,16,15,0,0,0,7.4
"Lookout","w","143",0,17,0,15,95,0,0,0,0,9.9
"Lookout","w","144",0,0,0,0,9,0,0,0,0,7.4
"Lookout","w","145",3,35,2,0,16,18,0,0,0,9.5
"Lookout","w","146",4,0,3,12,17,0,0,0,NA,8.2
"Lookout","w","147",0,45,0,8,29,38,0,0,0,13.9
"Lookout","w","148",3,21,0,0,18,24,14,5,0,6.9
"Lookout","w","154",0,16,3,29,15,15,8,0,NA,6.5
"Lookout","w","156",0,0,0,0,4,0,0,NA,NA,6.8
"Lookout","w","157",15,0,0,0,12,24,0,0,0,9.4
"Lookout","w","162",3,5,0,0,7,NA,NA,NA,NA,5.5
"Lookout","w","163",4,17,0,0,7,12,2,5,NA,9.7
"Lookout","w","166",0,4,0,4,19,14,0,NA,NA,9.1
"Lookout","w","172",1,12,0,2,0,0,0,0,NA,7.2
"Lookout","w","173",0,2,0,7,10,0,0,0,0,7.4
"Lookout","w","172a",8,18,0,0,37,0,0,0,0,NA
"Lookout","w","20",0,5,6,0,0,0,0,0,NA,4.4
"Lookout","w","21",2,0,0,0,0,3,13,1,NA,3.7
"Lookout","w","22",0,0,0,15,5,38,8,2,NA,4
"Lookout","w","23",0,0,1,0,8,6,5,0,NA,NA
"Lookout","w","24",0,3,0,0,0,0,0,0,NA,4.4
"Lookout","w","25",9,4,0,18,10,0,0,0,NA,4.8
"Lookout","w","26",1,12,5,2,2,18,19,3,NA,4.9
"Lookout","w","28",0,18,0,0,0,0,0,0,NA,6.3
"Lookout","w","29",0,0,0,0,0,0,0,0,NA,NA
"Lookout","w","30",1,0,0,0,9,0,0,0,NA,3.5
"Lookout","w","31",0,0,0,0,0,2,0,0,NA,5.1
"Lookout","w","32",0,4,0,0,0,8,0,0,NA,5.3
"Lookout","w","33",8,0,0,0,11,7,0,0,NA,7
"Lookout","w","34",0,0,0,18,1,0,0,0,NA,4.3
"Lookout","w","35",1,2,0,1,0,5,0,0,NA,3.8
"Lookout","w","36",0,0,0,2,0,2,0,0,NA,3.3
"Lookout","w","38",1,0,0,0,9,0,0,0,NA,5.7
"Lookout","w","40",0,4,0,0,32,10,0,0,NA,NA
"Lookout","w","41",0,4,6,0,8,4,10,0,NA,5.3
"Lookout","w","42",6,0,0,0,0,3,0,0,NA,6.9
"Lookout","w","43",21,16,8,2,26,9,0,0,NA,7
"Lookout","w","45",3,14,10,9,13,3,16,9,NA,9.4
"Lookout","w","46",0,6,3,5,15,0,0,0,NA,7.5
"Lookout","w","47",0,12,0,3,9,0,0,0,NA,6.1
"Lookout","w","48",8,2,0,0,7,17,0,0,NA,6.2
"Lookout","w","49",0,3,0,0,0,20,2,0,NA,7.5
"Lookout","w","50",0,0,0,3,7,6,0,0,NA,3.2
"Lookout","w","52",0,0,5,3,5,11,4,0,NA,6.2
"Lookout","w","53",3,10,8,5,2,0,0,0,NA,6.8
"Lookout","w","54",14,14,10,0,0,0,16,4,NA,8.1
"Lookout","w","55",11,17,23,3,4,1,18,18,NA,6.3
"Lookout","w","56",0,0,1,6,0,7,0,0,NA,5
"Lookout","w","57",3,6,12,16,19,11,1,10,NA,6
"Lookout","w","58",0,0,1,0,0,0,0,0,NA,3.9
"Lookout","w","59",4,13,17,7,6,8,6,0,NA,6.6
"Lookout","w","60",0,2,0,0,2,1,5,0,NA,NA
"Lookout","w","61",1,8,0,8,0,7,3,0,NA,7.8
"Lookout","w","63",1,20,4,5,15,12,5,0,NA,8.6
"Lookout","w","64",0,0,0,7,2,0,7,0,NA,6.7
"Lookout","w","65",2,1,0,0,11,3,7,4,NA,7.6
"Lookout","w","67",3,1,0,0,0,0,0,0,NA,7.9
"Lookout","w","68",5,1,0,0,0,0,0,0,NA,7.3
"Lookout","w","69",7,0,0,0,7,4,0,0,NA,16.7
"Lookout","w","70",0,3,0,0,0,0,0,0,NA,7.3
"Lookout","w","71",7,5,2,15,4,21,6,4,NA,11.2
"Lookout","w","72",1,1,0,0,0,0,0,0,NA,6
"Lookout","w","73",0,1,4,4,5,8,3,2,NA,7
"Lookout","w","83",0,19,3,19,8,33,27,15,7,12.8
"Lookout","w","84",7,19,0,3,6,24,19,0,NA,6
"Lookout","w","85",0,0,0,3,4,5,0,0,NA,9.7
"Lookout","w","86",2,0,4,0,16,0,0,0,NA,6.8
"Lookout","w","89",3,1,0,0,0,5,24,6,NA,NA
"Lookout","w","90",2,8,6,17,11,37,28,0,NA,12.2
"Lookout","w","91",0,4,5,6,3,0,4,0,NA,10.7
"Lookout","w","92",0,3,1,2,2,8,5,0,NA,7
"Lookout","w","93",0,0,0,3,7,5,0,0,NA,6.5
"Lookout","w","94",0,2,0,0,0,9,4,0,NA,9.2
"Lookout","w","95",9,16,19,5,13,9,6,0,NA,14.7
"Lookout","w","97",0,6,8,9,40,20,0,0,NA,10.7
"Lookout","w","98",6,17,6,0,25,2,6,0,NA,7.7
"Lookout","w","99",3,17,5,12,4,7,25,0,NA,7
"Lookout","w","1166agai",0,3,15,0,0,0,0,0,NA,7.7
"Lookout","w","1178agai",1,1,8,0,10,0,0,0,NA,7.5
"Lookout","w","1197agai",0,8,0,17,19,21,0,0,NA,8.1
"Lookout","w","37B",0,1,0,0,0,0,0,0,NA,6.3
"Lookout","w","51B",2,0,0,2,3,0,0,0,NA,6.1
"Lookout","w","C",8,11,2,1,9,11,3,6,NA,8.2
"Lookout","w","126",1,17,5,5,25,11,8,0,NA,9.8
"Lookout","w","37A",4,0,0,0,2,3,0,0,NA,NA
