"Fecha","HidrocarburosN","Hidrocarburostot","Benceno","NO2","Paraxileno","NO","O3","PM10","Tolueno","dia","semana","time"
2021-01-01,0.1,1.4,0.6,2500,0.8,300,4700,400,1.1,"viernes","Laboral","01:00:00"
2021-01-01,0.1,1.3,0.5,700,0.5,100,6200,900,0.8,"viernes","Laboral","02:00:00"
2021-01-01,0.1,1.4,0.4,900,0.3,100,4900,700,0.5,"viernes","Laboral","03:00:00"
2021-01-01,0.1,1.4,0.5,1000,0.3,100,4300,900,0.6,"viernes","Laboral","04:00:00"
2021-01-01,0.1,1.4,0.5,1200,0.3,100,3800,1000,1.1,"viernes","Laboral","05:00:00"
2021-01-01,0.1,1.4,0.4,1300,0.3,100,3900,900,1.1,"viernes","Laboral","06:00:00"
2021-01-01,0.1,1.4,0.4,2300,0.8,200,2500,700,1.9,"viernes","Laboral","07:00:00"
2021-01-01,0.1,1.4,0.5,3200,1.5,100,1800,700,3.6,"viernes","Laboral","08:00:00"
2021-01-01,0.1,1.4,0.5,2400,1.1,400,2900,600,2.2,"viernes","Laboral","09:00:00"
2021-01-01,0.1,1.4,0.4,1100,0.4,200,4800,500,1.1,"viernes","Laboral","10:00:00"
2021-01-01,0.1,1.3,0.3,1000,0.3,200,6000,300,0.6,"viernes","Laboral","11:00:00"
2021-01-01,0.1,1.3,0.3,400,0.3,100,7400,300,0.4,"viernes","Laboral","12:00:00"
2021-01-01,0.1,1.3,0.3,400,0.3,100,7400,100,0.4,"viernes","Laboral","13:00:00"
2021-01-01,0.1,1.3,0.3,300,0.3,100,7400,100,0.3,"viernes","Laboral","14:00:00"
2021-01-01,0.1,1.3,0.3,300,0.3,100,7400,100,0.3,"viernes","Laboral","15:00:00"
2021-01-01,0.1,1.3,0.3,400,0.3,100,7300,100,0.2,"viernes","Laboral","16:00:00"
2021-01-01,0.1,1.3,0.3,500,0.3,100,7000,100,0.2,"viernes","Laboral","17:00:00"
2021-01-01,0.1,1.3,0.3,1000,0.3,100,6300,100,0.4,"viernes","Laboral","18:00:00"
2021-01-01,0.1,1.4,0.3,1400,0.3,100,5600,100,0.4,"viernes","Laboral","19:00:00"
2021-01-01,0.1,1.3,0.4,1200,0.3,200,5500,300,0.4,"viernes","Laboral","20:00:00"
2021-01-01,0.1,1.4,0.6,2600,0.4,200,4000,400,0.8,"viernes","Laboral","21:00:00"
2021-01-01,0.1,1.4,100,4200,1.5,700,2300,800,2.1,"viernes","Laboral","22:00:00"
2021-01-01,0.1,1.4,0.9,3500,1.8,400,2700,700,3.1,"viernes","Laboral","23:00:00"
2021-01-02,0.1,1.4,0.6,1500,0.9,100,5700,600,1.2,"sábado",NA,"00:00:00"
2021-01-02,0.1,1.4,0.7,1600,1.3,100,4700,300,1.8,"sábado",NA,"01:00:00"
2021-01-02,0.1,1.3,0.4,500,1.4,100,6500,100,1.6,"sábado",NA,"02:00:00"
2021-01-02,0.1,1.4,0.3,400,0.3,100,6600,200,0.5,"sábado",NA,"03:00:00"
2021-01-02,0.1,1.4,0.3,500,0.3,100,6500,200,0.5,"sábado",NA,"04:00:00"
2021-01-02,0.1,1.4,0.3,1300,0.3,100,5400,100,0.7,"sábado",NA,"05:00:00"
2021-01-02,0.1,1.4,0.4,2500,0.5,100,4100,100,1.2,"sábado",NA,"06:00:00"
2021-01-02,0.1,1.4,0.4,2100,0.5,100,4500,200,100,"sábado",NA,"07:00:00"
2021-01-02,0.1,1.4,0.7,3700,0.5,200,2700,600,1.3,"sábado",NA,"08:00:00"
2021-01-02,0.1,1.4,0.5,3400,0.6,700,3400,700,1.3,"sábado",NA,"09:00:00"
2021-01-02,0.1,1.4,0.5,1600,0.4,400,5100,800,0.9,"sábado",NA,"10:00:00"
2021-01-02,0.1,1.4,0.4,900,0.3,300,6300,300,0.6,"sábado",NA,"11:00:00"
2021-01-02,0.1,1.4,0.4,600,0.3,200,6900,400,0.5,"sábado",NA,"12:00:00"
2021-01-02,0.1,1.4,0.6,700,0.3,200,6900,200,0.6,"sábado",NA,"13:00:00"
2021-01-02,0.1,1.4,0.4,800,0.3,200,6600,200,0.5,"sábado",NA,"14:00:00"
2021-01-02,0.1,1.5,0.4,1000,0.3,200,6100,100,0.5,"sábado",NA,"15:00:00"
2021-01-02,0.1,1.5,0.4,1000,0.3,200,6300,200,0.5,"sábado",NA,"16:00:00"
2021-01-02,0.1,1.4,0.5,1000,0.3,100,6500,200,0.5,"sábado",NA,"17:00:00"
2021-01-02,0.1,1.4,0.5,2200,0.3,200,5400,300,0.5,"sábado",NA,"18:00:00"
2021-01-02,0.1,1.5,0.6,4400,0.6,500,3300,400,100,"sábado",NA,"19:00:00"
2021-01-02,0.1,1.4,0.6,1800,0.5,200,5800,500,0.9,"sábado",NA,"20:00:00"
2021-01-02,0.1,1.4,0.5,2600,0.3,200,5100,500,0.7,"sábado",NA,"21:00:00"
2021-01-02,0.1,1.5,0.6,3600,0.7,300,4000,700,1.1,"sábado",NA,"22:00:00"
2021-01-02,0.1,1.4,0.7,4400,0.9,300,2900,500,1.4,"sábado",NA,"23:00:00"
2021-01-03,0.1,1.4,0.7,4800,1.2,200,2200,1000,2.3,"domingo","Fin de semana","00:00:00"
2021-01-03,0.1,1.5,0.6,5200,100,100,2000,1500,1.8,"domingo","Fin de semana","01:00:00"
2021-01-03,0.1,1.6,0.7,5100,1.3,100,1800,1600,1.9,"domingo","Fin de semana","02:00:00"
2021-01-03,0.2,1.7,0.7,4800,1.3,100,1700,1500,2.2,"domingo","Fin de semana","03:00:00"
2021-01-03,0.2,1.7,0.7,5500,1.9,400,700,1900,3.7,"domingo","Fin de semana","04:00:00"
2021-01-03,0.2,1.7,1.2,4900,2.3,200,1000,1700,3.6,"domingo","Fin de semana","05:00:00"
2021-01-03,0.2,1.6,0.9,4200,2.4,300,1000,1500,400,"domingo","Fin de semana","06:00:00"
2021-01-03,0.1,1.5,0.7,4100,1.5,400,1600,1600,2.6,"domingo","Fin de semana","07:00:00"
2021-01-03,0.1,1.5,0.6,4500,0.8,400,1300,1100,1.1,"domingo","Fin de semana","08:00:00"
2021-01-03,0.1,1.4,0.6,2700,0.6,400,2900,1100,100,"domingo","Fin de semana","09:00:00"
2021-01-03,0.1,1.4,0.5,1700,0.3,600,4100,900,0.9,"domingo","Fin de semana","10:00:00"
2021-01-03,0.2,1.8,0.7,3700,0.7,2800,2100,400,1.3,"domingo","Fin de semana","11:00:00"
2021-01-03,0.1,1.8,100,3600,1.2,2300,3000,1400,200,"domingo","Fin de semana","12:00:00"
2021-01-03,0.1,1.4,0.7,800,0.7,200,5900,1500,1.1,"domingo","Fin de semana","13:00:00"
2021-01-03,0.1,1.4,0.4,500,0.3,100,6300,400,0.4,"domingo","Fin de semana","14:00:00"
2021-01-03,0.1,1.4,0.4,500,0.3,100,6400,100,0.4,"domingo","Fin de semana","15:00:00"
2021-01-03,0.1,1.4,0.4,500,0.3,100,6400,100,0.4,"domingo","Fin de semana","16:00:00"
2021-01-03,0.1,1.4,0.4,700,0.3,100,6000,100,0.5,"domingo","Fin de semana","17:00:00"
2021-01-03,0.1,1.4,0.4,1000,0.3,100,5200,100,0.5,"domingo","Fin de semana","18:00:00"
2021-01-03,0.1,1.4,0.5,1200,0.3,100,5200,100,0.5,"domingo","Fin de semana","19:00:00"
2021-01-03,0.1,1.4,0.5,1400,0.3,100,5100,200,0.6,"domingo","Fin de semana","20:00:00"
2021-01-03,0.1,1.4,0.5,1100,0.3,100,5600,400,0.5,"domingo","Fin de semana","21:00:00"
2021-01-03,0.1,1.4,0.4,1300,0.3,100,5500,200,0.5,"domingo","Fin de semana","22:00:00"
2021-01-03,0.1,1.4,0.5,2200,0.3,100,4600,200,0.7,"domingo","Fin de semana","23:00:00"
2021-01-04,0.1,1.4,0.5,1900,0.3,100,5000,400,0.7,"lunes","Laboral","00:00:00"
2021-01-04,0.1,1.4,0.4,1600,0.3,100,5400,300,0.6,"lunes","Laboral","01:00:00"
2021-01-04,0.1,1.4,0.4,1100,0.3,100,5400,300,0.5,"lunes","Laboral","02:00:00"
2021-01-04,0.1,1.4,0.4,1000,0.3,100,5000,400,0.5,"lunes","Laboral","03:00:00"
2021-01-04,0.1,1.4,0.4,800,0.3,100,5600,600,0.8,"lunes","Laboral","04:00:00"
2021-01-04,0.1,1.3,0.4,400,0.3,100,6900,400,0.5,"lunes","Laboral","05:00:00"
2021-01-04,0.1,1.3,0.3,600,0.3,100,7100,300,0.5,"lunes","Laboral","06:00:00"
2021-01-04,0.1,1.3,0.4,2800,0.3,200,4900,200,0.6,"lunes","Laboral","07:00:00"
2021-01-04,0.1,1.3,0.4,2100,0.3,200,5800,200,0.6,"lunes","Laboral","08:00:00"
2021-01-04,0.1,1.3,0.4,2800,0.3,400,5100,200,1.1,"lunes","Laboral","09:00:00"
2021-01-04,0.1,1.3,0.4,1700,0.4,400,6100,500,0.7,"lunes","Laboral","10:00:00"
2021-01-04,0.1,1.4,0.4,1400,0.3,400,6400,400,0.7,"lunes","Laboral","11:00:00"
2021-01-04,0.1,1.4,0.4,1000,0.6,300,6800,600,1.3,"lunes","Laboral","12:00:00"
2021-01-04,0.1,1.3,0.4,700,1.6,200,6800,600,1.7,"lunes","Laboral","13:00:00"
2021-01-04,0.1,1.3,0.4,700,0.3,200,6700,400,0.5,"lunes","Laboral","14:00:00"
2021-01-04,0.1,1.3,0.3,600,0.3,200,6700,200,0.6,"lunes","Laboral","15:00:00"
2021-01-04,0.1,1.3,0.3,700,0.3,100,6600,100,0.7,"lunes","Laboral","16:00:00"
2021-01-04,0.1,1.3,0.4,1800,0.3,200,5500,100,0.6,"lunes","Laboral","17:00:00"
2021-01-04,0.1,1.4,0.4,4200,0.4,400,3000,200,0.8,"lunes","Laboral","18:00:00"
2021-01-04,0.1,1.4,0.6,6300,0.7,1600,1400,400,1.5,"lunes","Laboral","19:00:00"
2021-01-04,0.2,1.4,1.2,7300,4.1,3300,400,1000,6.1,"lunes","Laboral","20:00:00"
2021-01-04,0.1,1.4,0.7,5100,1.9,500,1800,1500,2.5,"lunes","Laboral","21:00:00"
2021-01-04,0.1,1.4,0.6,4200,0.7,200,2500,1200,1.3,"lunes","Laboral","22:00:00"
2021-01-04,0.1,1.4,0.6,2400,0.4,100,3900,1200,100,"lunes","Laboral","23:00:00"
2021-01-05,0.1,1.4,0.5,1900,0.3,100,4100,700,0.9,"martes","Laboral","00:00:00"
2021-01-05,0.1,1.5,0.5,1900,0.4,100,3600,700,1.3,"martes","Laboral","01:00:00"
2021-01-05,0.1,1.5,0.6,2100,100,100,2700,800,3.3,"martes","Laboral","02:00:00"
2021-01-05,0.1,1.5,0.6,2600,2.1,200,1700,2800,600,"martes","Laboral","03:00:00"
2021-01-05,0.2,1.5,0.6,3800,200,400,700,3900,4.6,"martes","Laboral","04:00:00"
2021-01-05,0.2,1.6,0.6,3500,3.4,500,1200,3300,7.3,"martes","Laboral","05:00:00"
2021-01-05,0.1,1.6,0.6,3500,1.2,1300,1700,2100,1.9,"martes","Laboral","06:00:00"
2021-01-05,0.2,1.6,0.7,5800,200,7000,100,1900,3.6,"martes","Laboral","07:00:00"
2021-01-05,0.3,1.8,1.1,7200,4.9,17100,200,2400,10.2,"martes","Laboral","08:00:00"
2021-01-05,0.3,1.7,2.2,7700,10.8,21400,300,3700,1700,"martes","Laboral","09:00:00"
