"P..maximus" "A..opercularis"
"1" "Presente" "Presente"
"2" "Presente" "Presente"
"3" "Presente" "Presente"
"4" "Presente" "Presente"
"5" "Presente" "Presente"
"6" "Presente" "Presente"
"7" "Presente" "Ausente "
"8" "Presente" "Ausente "
"9" "Presente" "Ausente "
"10" "Presente" "Ausente "
"11" "Presente" "Ausente "
"12" "Presente" "Ausente "
"13" "Presente" "Ausente "
"14" "Presente" "Ausente "
"15" "Presente" "Ausente "
"16" "Presente" "Ausente "
"17" "Presente" "Ausente "
"18" "Presente" "Ausente "
"19" "Presente" "Ausente "
"20" "Presente" "Ausente "
"21" "Presente" "Ausente "
"22" "Ausente" "Presente"
"23" "Ausente" "Presente"
"24" "Ausente" "Presente"
"25" "Ausente" "Presente"
"26" "Ausente" "Presente"
"27" "Ausente" "Presente"
"28" "Ausente" "Presente"
"29" "Ausente" "Presente"
"30" "Ausente" "Presente"
"31" "Ausente" "Presente"
"32" "Ausente" "Presente"
"33" "Ausente" "Presente"
"34" "Ausente" "Presente"
"35" "Ausente" "Presente"
"36" "Ausente" "Presente"
"37" "Ausente" "Presente"
"38" "Ausente" "Presente"
"39" "Ausente" "Presente"
"40" "Ausente" "Presente"
"41" "Ausente" "Ausente "
"42" "Ausente" "Ausente "
"43" "Ausente" "Ausente "
"44" "Ausente" "Ausente "
"45" "Ausente" "Ausente "
"46" "Ausente" "Ausente "
"47" "Ausente" "Ausente "
"48" "Ausente" "Ausente "
"49" "Ausente" "Ausente "
