id,link,content,start_time,end_time,programme_id,programme_date
02Us6HEBfTy97p2TX4NQ,https://www.rtve.es/v/5569691/?t=00h42m32s,#�NOMBRE?,2552,2557,5569691,2020-05-04T21:00:00+00:00
XWUF43EBfTy97p2TJ4BG,https://www.rtve.es/v/5569476/?t=00h39m38s,"Nada de trafico, nada de ruido, nada de contaminación.",2378,2382,5569476,2020-05-04T15:00:00+00:00
ZWUF43EBfTy97p2TJ4B7,https://www.rtve.es/v/5569476/?t=00h40m48s,"Y Madrid es una de las 26 ciudades en las que la contaminación del aire ha alcanzado los niveles más bajos de la última década, según Ecologistas en Acción.",2448,2450,5569476,2020-05-04T15:00:00+00:00
9WW52HEBfTy97p2TL3sq,https://www.rtve.es/v/5568706/?t=00h29m45s,Ha bajado la contaminación acústica.,1785,1788,5568706,2020-05-02T21:00:00+00:00
xmUfxHEBfTy97p2T-2no,https://www.rtve.es/v/5565627/?t=00h45m50s,"Hoy el ministro de Transportes ha recomendado el uso del vehículo privado como una opción en estas circunstancias, una medida criticada por Greenpeace por contribuir a incrementar la contaminación.",2750,2753,5565627,2020-04-27T21:00:00+00:00
z0uIr3EBMpUce9rpmh2C,https://www.rtve.es/v/5564291/?t=00h22m28s,"-Las autopsias de pacientes fallecidos por este virus, no se realizan en las salas de autopsia habitual que utilizamos para pacientes que fallecen por enfermedades de corazón o cáncer, se necesitan medidas de bioseguridad, filtros, sistemas de ventilaci",1348,1352,5564291,2020-04-24T21:00:00+00:00
lkthqnEBMpUce9rpNRqO,https://www.rtve.es/v/5562649/?t=00h41m40s,"Dia de la Tierra atípico en todo el mundo, con poco tráfico, cielos despejados y unas estampas bucólicas que no se parecen en nada a los paisajes urbanos que veíamos hace unos meses con una contaminación que no dejaba vislumbrar los monumentos.",2500,2503,5562649,2020-04-22T21:00:00+00:00
JUthqnEBMpUce9rpNxuC,https://www.rtve.es/v/5562649/?t=00h58m38s,Ese Día de la Tierra se instauró para concienciarnos de los problemas de la sobrepoblación y la inaguantable contaminación.,3518,3522,5562649,2020-04-22T21:00:00+00:00
_0s6pXEBMpUce9rpOhZc,https://www.rtve.es/v/5562378/?t=00h55m39s,"Hoy, 22 de abril, se celebra el Día de la Tierra Hoy, 22 de abril, se celebra el Día de la Tierra y con gran parte del planeta confinado, la contaminación está en su nivel más bajo de los últimosaños.",3339,3342,5562378,2020-04-22T15:00:00+00:00
Aks6pXEBMpUce9rpOhdm,https://www.rtve.es/v/5562378/?t=00h56m14s,Apenas se veía por la contaminación.,3374,3376,5562378,2020-04-22T15:00:00+00:00
