"VAR1" "WAVE_NON" "TREE_NO" "año" "conos" "DBH" "crecimiento"
"1" "Blackbea" "n" "1066" 1991 0 9.4 36
"2" "Blackbea" "n" "1066" 1992 0 9.4 24
"3" "Blackbea" "n" "1066" 1993 0 9.4 12
"4" "Blackbea" "n" "1066" 1994 19 9.4 15
"5" "Blackbea" "n" "1066" 1995 0 9.4 22
"6" "Blackbea" "n" "1066" 1996 0 9.4 18
"7" "Blackbea" "n" "1066" 1997 0 9.4 24
"8" "Blackbea" "n" "1066" 1998 0 9.4 17
"9" "Blackbea" "n" "1068" 1991 0 10.6 47
"10" "Blackbea" "n" "1068" 1992 0 10.6 33
"11" "Blackbea" "n" "1068" 1993 0 10.6 24
"12" "Blackbea" "n" "1068" 1994 20 10.6 18
"13" "Blackbea" "n" "1068" 1995 0 10.6 21
"14" "Blackbea" "n" "1068" 1996 0 10.6 26
"15" "Blackbea" "n" "1068" 1997 0 10.6 31
"16" "Blackbea" "n" "1068" 1998 22 10.6 19
"17" "Blackbea" "n" "1069" 1991 0 7.7 15
"18" "Blackbea" "n" "1069" 1992 0 7.7 22
"19" "Blackbea" "n" "1069" 1993 0 7.7 22
"20" "Blackbea" "n" "1069" 1994 18 7.7 15
"21" "Blackbea" "n" "1069" 1995 0 7.7 22
"22" "Blackbea" "n" "1069" 1996 0 7.7 16
"23" "Blackbea" "n" "1069" 1997 0 7.7 20
"24" "Blackbea" "n" "1069" 1998 22 7.7 15
"25" "Blackbea" "n" "1077" 1991 0 10.6 45
"26" "Blackbea" "n" "1077" 1992 0 10.6 35
"27" "Blackbea" "n" "1077" 1993 0 10.6 25
"28" "Blackbea" "n" "1077" 1994 51 10.6 7
"29" "Blackbea" "n" "1077" 1995 0 10.6 10
"30" "Blackbea" "n" "1077" 1996 0 10.6 20
"31" "Blackbea" "n" "1077" 1997 0 10.6 18
"32" "Blackbea" "n" "1077" 1998 17 10.6 18
"33" "Blackbea" "n" "1080" 1991 0 8.7 19
"34" "Blackbea" "n" "1080" 1992 0 8.7 14
"35" "Blackbea" "n" "1080" 1993 0 8.7 16
"36" "Blackbea" "n" "1080" 1994 3 8.7 19
"37" "Blackbea" "n" "1080" 1995 0 8.7 18
"38" "Blackbea" "n" "1080" 1996 0 8.7 21
"39" "Blackbea" "n" "1080" 1997 0 8.7 22
"40" "Blackbea" "n" "1080" 1998 2 8.7 14
"41" "Blackbea" "n" "1085" 1991 0 10.1 22
"42" "Blackbea" "n" "1085" 1992 0 10.1 20
"43" "Blackbea" "n" "1085" 1993 0 10.1 13
"44" "Blackbea" "n" "1085" 1994 0 10.1 18
"45" "Blackbea" "n" "1085" 1995 0 10.1 15
"46" "Blackbea" "n" "1085" 1996 0 10.1 16
"47" "Blackbea" "n" "1085" 1997 0 10.1 21
"48" "Blackbea" "n" "1085" 1998 0 10.1 20
"49" "Blackbea" "n" "1086" 1991 0 8.1 17
"50" "Blackbea" "n" "1086" 1992 0 8.1 10
"51" "Blackbea" "n" "1086" 1993 0 8.1 10
"52" "Blackbea" "n" "1086" 1994 21 8.1 6
"53" "Blackbea" "n" "1086" 1995 0 8.1 6
"54" "Blackbea" "n" "1086" 1996 0 8.1 10
"55" "Blackbea" "n" "1086" 1997 0 8.1 19
"56" "Blackbea" "n" "1086" 1998 0 8.1 18
"57" "Blackbea" "n" "1087" 1991 0 11.6 34
"58" "Blackbea" "n" "1087" 1992 0 11.6 23
"59" "Blackbea" "n" "1087" 1993 0 11.6 23
"60" "Blackbea" "n" "1087" 1994 60 11.6 27
"61" "Blackbea" "n" "1087" 1995 0 11.6 31
"62" "Blackbea" "n" "1087" 1996 0 11.6 30
"63" "Blackbea" "n" "1087" 1997 0 11.6 28
"64" "Blackbea" "n" "1087" 1998 54 11.6 22
"65" "Blackbea" "n" "1092" 1991 0 10.1 35
"66" "Blackbea" "n" "1092" 1992 0 10.1 23
"67" "Blackbea" "n" "1092" 1993 0 10.1 20
"68" "Blackbea" "n" "1092" 1994 37 10.1 7
"69" "Blackbea" "n" "1092" 1995 0 10.1 11
"70" "Blackbea" "n" "1092" 1996 0 10.1 16
"71" "Blackbea" "n" "1092" 1997 0 10.1 18
"72" "Blackbea" "n" "1092" 1998 0 10.1 19
"73" "Blackbea" "n" "1101" 1991 0 13.3 23
"74" "Blackbea" "n" "1101" 1992 0 13.3 17
"75" "Blackbea" "n" "1101" 1993 0 13.3 15
"76" "Blackbea" "n" "1101" 1994 48 13.3 10
"77" "Blackbea" "n" "1101" 1995 0 13.3 14
"78" "Blackbea" "n" "1101" 1996 0 13.3 16
"79" "Blackbea" "n" "1101" 1997 0 13.3 24
"80" "Blackbea" "n" "1101" 1998 44 13.3 18
"81" "Blackbea" "n" "1102" 1991 0 10 23
"82" "Blackbea" "n" "1102" 1992 0 10 17
"83" "Blackbea" "n" "1102" 1993 0 10 17
"84" "Blackbea" "n" "1102" 1994 38 10 10
"85" "Blackbea" "n" "1102" 1995 0 10 8
"86" "Blackbea" "n" "1102" 1996 0 10 13
"87" "Blackbea" "n" "1102" 1997 3 10 16
"88" "Blackbea" "n" "1102" 1998 43 10 3
"89" "Blackbea" "n" "1103" 1991 0 13.4 24
"90" "Blackbea" "n" "1103" 1992 0 13.4 18
"91" "Blackbea" "n" "1103" 1993 0 13.4 21
"92" "Blackbea" "n" "1103" 1994 31 13.4 24
"93" "Blackbea" "n" "1103" 1995 0 13.4 22
"94" "Blackbea" "n" "1103" 1996 15 13.4 17
"95" "Blackbea" "n" "1103" 1997 0 13.4 25
"96" "Blackbea" "n" "1103" 1998 56 13.4 16
"97" "Blackbea" "n" "1104" 1991 0 9.7 34
"98" "Blackbea" "n" "1104" 1992 0 9.7 22
"99" "Blackbea" "n" "1104" 1993 0 9.7 25
"100" "Blackbea" "n" "1104" 1994 17 9.7 24
"101" "Blackbea" "n" "1104" 1995 29 9.7 15
"102" "Blackbea" "n" "1104" 1996 0 9.7 17
"103" "Blackbea" "n" "1104" 1997 0 9.7 21
"104" "Blackbea" "n" "1104" 1998 52 9.7 11
"105" "Blackbea" "n" "1106" 1991 0 7.4 14
"106" "Blackbea" "n" "1106" 1992 0 7.4 13
"107" "Blackbea" "n" "1106" 1993 0 7.4 8
"108" "Blackbea" "n" "1106" 1994 37 7.4 5
"109" "Blackbea" "n" "1106" 1995 0 7.4 8
"110" "Blackbea" "n" "1106" 1996 0 7.4 20
"111" "Blackbea" "n" "1106" 1997 0 7.4 22
"112" "Blackbea" "n" "1106" 1998 26 7.4 10
"113" "Blackbea" "n" "1107" 1991 0 8.7 NA
"114" "Blackbea" "n" "1107" 1992 0 8.7 NA
"115" "Blackbea" "n" "1107" 1993 0 8.7 NA
"116" "Blackbea" "n" "1107" 1994 0 8.7 NA
"117" "Blackbea" "n" "1107" 1995 0 8.7 NA
"118" "Blackbea" "n" "1107" 1996 0 8.7 NA
"119" "Blackbea" "n" "1107" 1997 0 8.7 NA
"120" "Blackbea" "n" "1107" 1998 8 8.7 NA
"121" "Blackbea" "n" "1108" 1991 0 8.6 22
"122" "Blackbea" "n" "1108" 1992 0 8.6 11
"123" "Blackbea" "n" "1108" 1993 0 8.6 12
"124" "Blackbea" "n" "1108" 1994 21 8.6 10
"125" "Blackbea" "n" "1108" 1995 0 8.6 10
"126" "Blackbea" "n" "1108" 1996 0 8.6 15
"127" "Blackbea" "n" "1108" 1997 0 8.6 20
"128" "Blackbea" "n" "1108" 1998 10 8.6 13
"129" "Blackbea" "n" "1114" 1991 0 7.9 16
