"","Code","Sample Point","Type","Territory","Municipality","XETRS89","YETRS89","ZETRS89","Water range","Water range type","Basin","Section","Subgroup"
"1","AAR066","Zamarripa (Araunotegi) (LOIU)","RÍOS","Bizkaia","Loiu",504575,4794715,NA,"Asua-A","Ríos cántabro-atlánticos calcáreos. Muy modificados","Asua","Araunotegi 1","Aguas (Fisicoquímica)#Macroinvertebrados"
"2","AGU126","Pandos (Aguera) (TRUCIOS-TURTZIOZ)","RÍOS","Bizkaia","Trucios-Turtzioz",479011,4792248,0,"Agüera I","Ríos cántabro-atlánticos calcáreos","Aguera","Aguera 3","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"3","ARA150","Egino (Arakil) (ASPARRENA)","RÍOS","Araba/Álava","Asparrena",560046,4746591,0,"Arakil hasta Altzania","Ríos de montaña húmeda calcárea","Arakil","Arakil 2","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"4","ART062","Iruzubieta (Artibai) (ZIORTZA-BOLIBAR)","RÍOS","Bizkaia","Ziortza-Bolibar",538399,4788966,0,"Artibai-A","Ríos cántabro-atlánticos calcáreos","Artibai","Artibai 3","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"5","ART109","Aretxinaga (Artibai)","RÍOS","Bizkaia","Markina-Xemein",540903,4791898,NA,"Artibai-A","Ríos cántabro-atlánticos calcáreos","Artibai","Artibai 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Macrófitos#Organismos fitobentónicos"
"6","ART168","Ribera (Artibai) (Artibai) (BERRIATUA)","RÍOS","Bizkaia","Berriatua",542485,4794807,0,"Artibai-A","Ríos cántabro-atlánticos calcáreos","Artibai","Artibai 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"7","ART202","Gardotza (Artibai) (BERRIATUA)","RÍOS","Bizkaia","Berriatua",544277,4796264,0,"Artibai-A","Ríos cántabro-atlánticos calcáreos","Artibai","Artibai 1","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"8","ARÑ057","Urdalur (Añarri) (ALTZANIAKO PARTZUERGOA)","RÍOS",NA,NA,560633,4751531,0,"Altzania hasta Arakil","Ríos de montaña húmeda calcárea","Añarri - Alzania","Añarri 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"9","ASU045","Zamudio (Asua) (ZAMUDIO)","RÍOS","Bizkaia","Zamudio",511775,4792128,0,"Asua-A","Ríos cántabro-atlánticos calcáreos. Muy modificados","Asua","Asua 4","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"10","ASU160","Sangroniz (Asua) (SONDIKA)","RÍOS","Bizkaia","Sondika",505069,4793252,0,"Asua-A","Ríos cántabro-atlánticos calcáreos. Muy modificados","Asua","Asua 1","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"11","BAI084","Aldarro (Baia Alto) (ZUIA)","RÍOS","Araba/Álava","Zuia",513382,4761594,0,"Baia hasta Subijana","Ríos de montaña húmeda calcárea","Baia","Baias 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"12","BAI258","Katadiano (Baia Medio) (KUARTANGO)","RÍOS","Araba/Álava","Kuartango",508873,4750747,0,"Baia hasta Subijana","Ríos de montaña húmeda calcárea","Baia","Baias 7","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"13","BAI500","Igay (Baia Bajo) (RIBERA BAJA/ERRIBERA BEITIA)","RÍOS","Araba/Álava","Ribera Baja/Erriberabeitia",506802,4731683,0,"Baia desde Subijana hasta Ebro","Ríos de montaña mediterránea calcárea","Baia","Baias 10","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"14","BAI558","Ribabellosa (Baia Bajo) (RIBERA BAJA/ERRIBERA BEITIA)","RÍOS","Araba/Álava","Ribera Baja/Erriberabeitia",505923,4728717,0,"Baia desde Subijana hasta Ebro","Ríos de montaña mediterránea calcárea","Baia","Baias 12","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"15","BAR126","San Esteban de Galdames (Barbadun) (SOPUERTA)","RÍOS","Bizkaia","Sopuerta",488691,4790876,0,"Barbadun-A","Ríos cántabro-atlánticos calcáreos","Barbadun","Barbadun 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"16","BAR190","Santelices (Barbadun) (MUSKIZ)","RÍOS","Bizkaia","Muskiz",490285,4795424,0,"Barbadun-B","Ríos cántabro-atlánticos calcáreos","Barbadun","Barbadun 1","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"17","BAT060","Aldai-Ibarra (Atxispe) (GAMIZ-FIKA)","RÍOS","Bizkaia","Gamiz-Fika",515779,4796981,0,"Butroe-A","Ríos cántabro-atlánticos calcáreos","Butroe","Atxispe 1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"18","BES042","Goikolea (Estepona) (MUNGIA)","RÍOS","Bizkaia","Mungia",515471,4805437,0,"Estepona-A","Ríos costeros cántabro-atlánticos","Estepona","Estepona 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"19","BEZ059","Mercadillo (Bezi) (SOPUERTA)","RÍOS","Bizkaia","Sopuerta",487817,4789799,NA,"Barbadun-A","Ríos cántabro-atlánticos calcáreos","Barbadun","Bezi 1","Aguas (Fisicoquímica)#Macroinvertebrados"
"20","BID555","Endarlatza (Bidasoa) (IRUN)","RÍOS","Gipuzkoa","Irun",603068,4794251,0,"Bidasoa III","Ejes fluviales principales cántabro-atlánticos calcáreos. Muy modificados","Bidasoa","Bidasoa 1","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"21","BJA050","Urdanibia (Jaizubia) (IRUN)","RÍOS","Gipuzkoa","Irun",595535,4799024,0,"Jaizubia-A","Ríos costeros cántabro-atlánticos","Jaizubia","Jaizubia 1","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"22","BPA055","Alordi (Pradobaso) (ZUIA)","RÍOS","Araba/Álava","Zuia",513554,4763667,NA,"Padrobaso hasta Baia","Ríos de montaña húmeda calcárea","Baia","Padrobaso1","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Macrófitos#Organismos fitobentónicos"
"23","BUT062","Becobaso (Butroe Alto) (ERRIGOITI)","RÍOS","Bizkaia","Errigoiti",520369,4796536,0,"Butroe-A","Ríos cántabro-atlánticos calcáreos","Butroe","Butroe 7","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"24","BUT137","Ergoien (Butroe Alto) (GAMIZ-FIKA)","RÍOS","Bizkaia","Gamiz-Fika",514795,4798006,0,"Butroe-A","Ríos cántabro-atlánticos calcáreos","Butroe","Butroe 5","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Riberas#Macrófitos#Organismos fitobentónicos"
"25","BUT203","Elortzabarri (Butroe bajo) (MUNGIA)","RÍOS","Bizkaia","Mungia",511934,4801451,NA,"Butroe-B","Ríos cántabro-atlánticos calcáreos","Butroe","Butroe 2","Aguas (Fisicoquímica)#Macroinvertebrados#Vida piscícola#Macrófitos#Organismos fitobentónicos"
"26","BUT226","Gatika (Butroe bajo) (GATIKA)","RÍOS","Bizkaia","Gatika",510744,4801841,0,"Butroe-B","Ríos cántabro-atlánticos calcáreos","Butroe","Butroe 2","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"27","BUT270","Urresti Atzekoa (Butroe bajo) (GATIKA)","RÍOS","Bizkaia","Gatika",507391,4802114,0,"Butroe-B","Ríos cántabro-atlánticos calcáreos","Butroe","Butroe 1","Aguas (Fisicoquímica)#Macroinvertebrados#Biota#Vida piscícola#Riberas#Sedimentos#Macrófitos#Organismos fitobentónicos"
"28","C005","Gatika","RÍOS","Bizkaia","Gatika",507434,4802167,NA,"Butroe-B","Ríos cántabro-atlánticos calcáreos","Butroe","Butroe 1","Aguas (Hidrología)"
"29","C006","Markina","RÍOS","Bizkaia","Markina-Xemein",540931,4790432,NA,"Artibai-A","Ríos cántabro-atlánticos calcáreos","Artibai","Urko 1","Aguas (Hidrología)"
"30","C009","Galdakao","RÍOS","Bizkaia","Galdakao",510551,4786853,NA,"Nerbioi II","Ejes fluviales principales cántabro-atlánticos calcáreos. Muy modificados","Ibaizabal","Ibaizabal 10","Aguas (Hidrología)"
"31","C011","Mungia-Lauaxeta","RÍOS","Bizkaia","Mungia",512194,4800392,NA,"Butroe-B","Ríos cántabro-atlánticos calcáreos","Butroe","Butroe 3","Aguas (Hidrología)"
"32","C032","Areta","RÍOS","Bizkaia","Orozko",505281,4776059,NA,"Altube II","Pequeños ejes cántabro-atlánticos calcáreos","Altube","Altube 4","Aguas (Hidrología)"
"33","C051","Saratxo","RÍOS","Araba/Álava","Amurrio",499678,4764383,NA,"Nerbioi I","Pequeños ejes cántabro-atlánticos calcáreos","Nerbioi","Nerbioi 4","Aguas (Hidrología)"
