"","year","temp_anomaly","land_anomaly","ocean_anomaly","carbon_emissions","ppm"
"1",1974,-0.06,-0.18,-0.02,4623,329.488181818182
"2",1975,0.01,0.14,-0.04,4596,331.217234042553
"3",1976,-0.07,-0.23,-0.01,4864,332.047843137255
"4",1977,0.21,0.25,0.19,5016,333.830576923077
"5",1978,0.12,0.1,0.12,5074,335.411886792453
"6",1979,0.23,0.17,0.24,5357,336.85137254902
"7",1980,0.28,0.31,0.26,5301,338.756153846154
"8",1981,0.32,0.52,0.25,5138,340.120384615385
"9",1982,0.19,0.11,0.22,5094,341.301224489796
"10",1983,0.36,0.5,0.3,5075,343.073725490196
"11",1984,0.17,0.06,0.2,5258,344.487291666667
"12",1985,0.16,0.1,0.18,5417,346.126346153846
"13",1986,0.23,0.3,0.21,5583,347.434807692308
"14",1987,0.38,0.45,0.36,5725,349.213846153846
"15",1988,0.39,0.58,0.32,5936,351.574038461538
"16",1989,0.29,0.36,0.27,6066,353.129245283019
"17",1990,0.45,0.66,0.37,6074,354.397884615385
"18",1991,0.39,0.53,0.34,6142,355.645576923077
"19",1992,0.24,0.24,0.23,6078,356.446923076923
"20",1993,0.28,0.35,0.25,6070,357.115576923077
"21",1994,0.34,0.48,0.29,6174,358.837307692308
"22",1995,0.47,0.78,0.35,6305,360.831698113208
"23",1996,0.32,0.35,0.31,6448,362.62
"24",1997,0.51,0.64,0.46,6556,363.742692307692
"25",1998,0.65,0.98,0.52,6576,366.724230769231
"26",1999,0.44,0.78,0.31,6561,368.363269230769
"27",2000,0.42,0.62,0.34,6733,369.577547169811
"28",2001,0.57,0.84,0.46,6893,371.166346153846
"29",2002,0.62,0.95,0.49,6994,373.302307692308
"30",2003,0.63,0.94,0.52,7376,375.807692307692
"31",2004,0.58,0.81,0.49,7743,377.545
"32",2005,0.66,1.08,0.5,8042,379.867843137255
"33",2006,0.63,0.97,0.5,8336,381.891698113208
"34",2007,0.61,1.12,0.43,8503,383.849038461538
"35",2008,0.54,0.89,0.41,8776,385.557551020408
"36",2009,0.64,0.9,0.54,8697,387.452307692308
"37",2010,0.72,1.14,0.56,9128,389.879807692308
"38",2011,0.57,0.91,0.44,9503,391.655769230769
"39",2012,0.63,0.95,0.51,9673,393.867358490566
"40",2013,0.67,1.03,0.53,9773,396.556730769231
"41",2014,0.73,1.01,0.63,9855,398.685576923077
"42",2015,0.92,1.39,0.75,NA,400.841538461538
"43",2016,0.98,1.5,0.79,NA,404.258269230769
"44",2017,0.9,1.38,0.72,NA,406.570943396226
"45",2018,0.82,1.18,0.68,NA,408.553653846154
